objectID,x,y,people_total,avg,CI_low,CI_UP,county_level,smoker
6074,-94.73902,40.993375,34,0.14,12%,16%,19003,5
6075,-76.929358,38.893973,1572,0.57,56%,57%,11001,890
6076,-76.985712,38.885951,31,0.09,7%,10%,11001,3
6077,-77.000319,38.876702,148,0.11,10%,12%,11001,16
6078,-76.936626,38.881285,856,0.54,54%,55%,11001,466
6079,-77.026833,38.920775,234,0.41,40%,42%,11001,97
6080,-88.949702,39.852683,138,0.52,51%,53%,17115,71
6081,-88.968521,39.853466,186,0.52,51%,54%,17115,97
6082,-74.466384,39.358083,324,0.37,36%,37%,34001,118
6083,-92.831532,33.578308,467,0.6,59%,60%,5103,278
6084,-106.108793,37.756892,80,0.16,15%,17%,8109,13
6085,-95.456819,37.684434,211,0.6,59%,60%,20133,126
6086,-97.021564,38.975159,43,0.35,33%,37%,20041,15
6087,-70.666447,42.618243,260,0.39,38%,40%,25009,101
6088,-87.894534,33.321513,172,0.58,57%,59%,1107,99
6089,-92.684279,45.7784,24,0.44,42%,47%,55013,11
6090,-84.215921,39.748998,755,0.65,64%,65%,39113,491
6091,-84.209956,39.763539,85,0.3,29%,32%,39113,26
6092,-74.410332,40.904506,132,0.24,22%,25%,34027,31
6093,-86.291753,32.372865,176,0.58,57%,59%,1101,101
6094,-112.090188,33.437952,119,0.17,16%,17%,4013,20
6095,-87.620145,41.821989,754,0.6,59%,60%,17031,451
6096,-76.624813,38.322851,0,0,0%,0%,24037,0
6097,-118.274929,33.775864,203,0.09,8%,9%,6037,18
6098,-90.892279,43.555326,204,0.42,41%,43%,55123,85
6099,-79.990744,35.96513,58,0.66,64%,68%,37081,38
6100,-90.115584,36.039288,60,0.55,53%,57%,29069,33
6100,-90.115584,36.039288,60,0.55,53%,57%,29069,33
6102,-85.27209,41.454331,125,0.38,36%,39%,18113,47
6103,-81.766832,24.563632,232,0,0%,0%,12087,0
6104,-99.479325,27.525266,551,0.04,4%,4%,48479,22
6105,-92.273448,34.722411,53,0.69,67%,71%,5119,37
6106,-92.312606,34.734587,0,0,0%,0%,5119,0
6107,-119.773259,36.756721,471,0.29,29%,30%,6019,138
6108,-119.781344,36.769371,90,0.16,15%,17%,6019,15
6109,-74.084645,40.704091,42,0.16,15%,17%,34017,7
6110,-74.057737,40.715132,69,0.01,1%,1%,34017,1
6111,-79.049983,39.499806,91,0.16,15%,17%,24001,14
6112,-76.611482,39.272417,85,0.48,47%,50%,24510,41
6113,-76.640082,39.303486,423,0.48,47%,49%,24510,203
6114,-92.270519,30.245284,382,0.35,34%,35%,22001,132
6115,-111.221763,47.502177,125,0.51,49%,52%,30013,63
6116,-111.279485,47.508329,29,0.4,38%,43%,30013,12
6117,-86.006174,34.020872,457,0.68,68%,69%,1055,312
6118,-94.96463,32.729905,313,0.59,58%,60%,48459,186
6119,-87.187426,37.198665,87,0.62,61%,63%,21177,54
6120,-94.561698,39.111954,547,0.64,64%,65%,29095,350
6121,-88.305924,36.600068,323,0.59,58%,60%,21035,191
6122,-94.946926,32.536424,276,0.61,60%,62%,48183,168
6123,-73.937007,40.717712,1579,0.1,9%,10%,36047,153
6124,-86.963282,34.591986,520,0.67,66%,68%,1103,348
6125,-102.469347,41.097875,44,0.29,27%,31%,31049,13
6126,-78.438036,41.810239,281,0.37,36%,38%,42083,104
6127,-96.002043,36.166101,51,0.62,60%,64%,40113,31
6128,-95.97448,36.182062,674,0.62,61%,62%,40143,417
6129,-90.586816,41.478706,189,0.44,43%,45%,17161,83
6130,-89.813042,36.352411,52,0.46,44%,47%,29155,24
6131,-83.598895,32.612787,133,0.68,67%,69%,13153,91
6132,-87.864978,42.384419,244,0.28,27%,29%,17097,69
6133,-87.834169,42.356102,98,0.41,39%,42%,17097,40
6134,-85.163644,32.879447,478,0.58,58%,59%,13285,279
6135,-66.040209,18.404423,1835,0.18,18%,18%,72127,326
6136,-74.041529,40.732978,348,0.33,33%,34%,34017,116
6137,-74.177186,40.917299,299,0.09,9%,10%,34031,28
6138,-84.353542,33.814481,171,0.33,32%,34%,13121,57
6139,-84.386029,33.745236,89,0.58,56%,59%,13121,51
6140,-96.376854,35.088033,131,0.59,58%,60%,40063,77
6141,-84.717412,33.021094,181,0.54,53%,55%,13199,98
6142,-71.125455,42.255835,116,0.16,15%,16%,25025,18
6143,-71.089266,42.294439,143,0.04,4%,4%,25025,6
6144,-71.051295,42.331126,117,0.27,25%,28%,25025,31
6145,-72.61807,42.201079,158,0.06,5%,6%,25013,9
6146,-70.933588,41.655982,547,0.22,21%,22%,25005,118
6147,-100.229398,33.136982,62,0.24,22%,25%,48433,15
6148,-77.026831,38.921313,147,0.46,45%,47%,11001,68
6149,-90.375481,38.682438,40,0.69,67%,71%,29189,28
6150,-82.70391,41.459314,136,0.84,84%,85%,39043,115
6151,-81.57482,40.037417,209,0.12,11%,13%,39059,25
6152,-76.738045,40.192799,90,0.65,64%,67%,42043,59
6153,-76.294677,40.038289,342,0.31,30%,32%,42071,106
6154,-77.574966,40.597007,40,0.61,59%,63%,42087,24
6155,-84.303041,37.570233,120,0.65,64%,67%,21151,79
6156,-90.074267,29.963749,211,0.64,63%,65%,22071,135
6157,-92.121893,32.506991,32,0.9,89%,92%,22073,29
6158,-81.653292,38.364255,93,0.5,48%,51%,54039,46
6159,-84.391082,33.815385,206,0.52,51%,53%,13121,108
6160,-73.708363,40.789815,206,0.03,3%,4%,36059,7
6161,-88.751771,41.92203,148,0.59,58%,60%,17037,87
6162,-72.559596,42.121959,395,0.24,23%,24%,25013,94
6163,-71.196237,42.361785,31,0.17,16%,19%,25017,5
6164,-70.909841,42.121285,44,0.06,5%,7%,25023,3
6165,-76.604702,39.300245,1276,0.72,72%,73%,24510,923
6166,-76.632439,39.250588,3076,0.69,69%,69%,24510,2114
6167,-86.00901,34.677504,272,0.58,58%,59%,1071,159
6168,-80.018172,40.392226,32,0.59,57%,62%,42003,19
6169,-82.367076,34.850413,102,0.53,51%,54%,45045,54
6170,-93.27254,44.966195,961,0.37,36%,37%,27053,354
6171,-91.9952,29.945642,98,0.72,71%,73%,22113,70
6172,-90.275913,29.40195,628,0.63,63%,64%,22057,398
6173,-94.789121,29.29846,389,0.36,36%,37%,48167,141
6174,-94.106276,30.10748,94,0.66,64%,67%,48245,62
6175,-96.18695,33.58603,201,0.56,55%,57%,48147,112
6176,-91.913991,44.868924,178,0.29,28%,30%,55033,51
6177,-72.951693,41.673394,202,0.27,26%,27%,9003,54
6178,-73.086491,41.197478,125,0.41,40%,42%,9009,51
6179,-121.387677,38.598609,634,0.61,61%,62%,6067,387
6180,-73.977166,40.740206,297,0.06,6%,6%,36061,17
6181,-84.919136,31.374168,408,0.6,59%,60%,13099,244
6182,-73.632204,40.65425,60,0.04,4%,5%,36059,3
6183,-89.623432,44.952807,150,0.57,56%,59%,55073,86
6184,-87.735765,43.754835,283,0.65,64%,66%,55117,184
6185,-72.623701,41.735452,501,0.25,24%,25%,9003,123
6186,-97.381685,28.671444,112,0.33,31%,34%,48175,36
6187,-96.737905,32.775099,619,0.71,70%,71%,48113,439
6188,-86.242038,45.950335,117,0.5,49%,52%,26153,59
6189,-97.517358,37.999273,72,0.52,50%,53%,20079,37
6190,-86.791966,33.505489,916,0.64,64%,64%,1073,586
6191,-79.936878,40.471583,141,0.52,51%,53%,42003,73
6192,-75.151468,39.962465,494,0.53,52%,53%,42101,260
6193,-75.213215,39.964166,87,0.55,53%,56%,42101,48
6194,-81.620784,34.70865,396,0.71,71%,72%,45087,283
6195,-97.505225,28.985204,81,0.12,11%,13%,48123,10
6196,-76.825065,40.224919,238,0.41,40%,42%,42043,98
6197,-73.765346,42.630926,417,0.31,30%,31%,36001,128
6198,-73.663835,42.789496,524,0.32,32%,32%,36083,168
6199,-87.584168,37.994505,333,0.76,75%,76%,18163,253
6200,-98.45963,29.384278,275,0.2,19%,21%,48029,55
6201,-97.38849,27.729095,176,0.16,15%,17%,48355,29
6202,-85.739609,38.270464,294,0.66,65%,67%,18019,194
6203,-87.129917,39.521421,172,0.68,67%,69%,18021,117
6203,-87.129917,39.521421,172,0.68,67%,69%,18021,117
6205,-101.535327,39.754456,27,0.31,28%,33%,20023,8
6206,-84.526002,39.106145,124,0.5,49%,51%,39061,62
6207,-73.786511,40.915211,221,0.15,15%,16%,36119,34
6208,-73.938119,40.672928,3730,0.14,14%,14%,36047,515
6209,-73.904771,40.669422,2218,0.13,13%,13%,36047,284
6210,-73.975223,40.694668,3887,0.1,10%,10%,36047,390
6211,-73.922604,40.859781,2278,0.05,5%,5%,36061,108
6212,-73.897655,40.856808,1629,0.05,5%,5%,36005,85
6213,-73.884266,40.655646,2577,0.08,8%,8%,36047,207
6214,-86.261343,42.294176,73,0.36,34%,37%,26159,26
6215,-96.067353,46.285271,82,0.36,34%,37%,27111,29
6216,-94.230931,45.567705,318,0.42,41%,42%,27145,133
6217,-94.382597,45.975735,102,0.35,34%,36%,27097,36
6218,-93.946458,46.485083,101,0.31,30%,33%,27035,32
6219,-93.373789,44.959684,351,0.4,39%,41%,27053,140
6220,-76.598572,39.298721,170,0.45,44%,47%,24510,77
6221,-89.001319,35.266704,203,0.6,59%,60%,47069,121
6222,-77.666301,43.179193,175,0.36,35%,37%,36055,64
6223,-77.645963,43.179106,136,0.18,17%,19%,36055,24
6224,-73.588784,40.678266,184,0.02,2%,2%,36059,3
6225,-74.195407,42.940434,221,0.05,4%,5%,36057,10
6226,-85.460048,42.717283,56,0.05,4%,6%,26015,3
6227,-111.890836,40.711967,441,0.48,47%,48%,49035,210
6228,-96.061872,39.829462,60,0.2,18%,22%,20131,12
6229,-98.319555,35.636338,37,0.66,64%,69%,40011,25
6230,-96.006679,36.137315,203,0.72,71%,73%,40143,147
6231,-96.004169,35.436326,97,0.56,54%,57%,40111,54
6232,-122.693296,45.525062,106,0.73,72%,75%,41051,78
6233,-122.691689,45.528664,94,0.82,80%,83%,41051,77
6234,-76.303611,40.035117,312,0.33,32%,34%,42071,103
6235,-93.423739,44.989593,410,0.4,40%,41%,27053,166
6236,-90.151412,38.629312,583,0.67,67%,68%,17163,393
6237,-90.130627,38.622912,70,0.01,1%,1%,17163,1
6238,-90.119774,38.61254,0,0,0%,0%,17163,0
6239,-88.102081,30.739953,39,0.06,5%,8%,1097,3
6240,-88.923426,30.394552,0,0,0%,0%,28047,0
6241,-90.032653,32.613901,311,0.57,57%,58%,28089,178
6242,-82.843055,36.170393,524,0.45,44%,45%,47059,235
6243,-106.432314,31.868021,1282,0.11,11%,12%,48141,146
6244,-98.535113,29.475771,157,0.22,21%,23%,48029,34
6245,-97.595689,27.837747,274,0.31,30%,32%,48355,86
6246,-84.391403,33.677886,0,0,0%,0%,13121,0
6247,-101.73689,43.176436,75,0.59,57%,60%,46007,44
6248,-87.956186,43.044799,234,0.39,38%,40%,55079,92
6249,-81.851184,27.886778,227,0.66,65%,67%,12105,150
6250,-98.456295,45.461999,180,0.32,31%,33%,46013,58
6250,-98.456295,45.461999,180,0.32,31%,33%,46013,58
6252,-90.072276,35.029427,97,0.66,64%,67%,47157,64
6253,-86.758776,36.165318,1956,0.71,71%,72%,47037,1394
6254,-82.003353,33.48873,524,0.7,70%,71%,13245,367
6255,-73.990852,40.768196,2914,0.05,5%,5%,36061,145
6256,-83.779795,31.175537,236,0.45,44%,46%,13071,106
6257,-66.604227,18.013681,290,0.23,23%,24%,72113,68
6258,-88.696611,32.358169,296,0.68,67%,68%,28075,200
6259,-90.104307,32.255771,387,0.71,70%,72%,28121,274
6260,-88.55058,33.814037,294,0.67,66%,68%,28095,197
6261,-90.203689,32.338495,196,0.69,68%,69%,28049,134
6262,-96.001877,36.128813,475,0.67,66%,68%,40143,319
6263,-96.002659,36.169122,157,0.36,35%,37%,40113,57
6264,-96.770903,35.130303,76,0.55,54%,57%,40133,42
6265,-74.002333,40.749912,1494,0.05,5%,5%,36061,75
6266,-85.646372,30.174422,511,0.49,48%,49%,12005,249
6267,-88.340086,36.293329,360,0.69,68%,70%,47079,249
6268,-81.768674,41.408871,159,0.69,69%,70%,39035,110
6269,-88.124087,35.654646,145,0.6,59%,61%,47039,87
6270,-82.70451,28.257768,180,0.56,55%,57%,12101,101
6271,-82.6945,28.328996,51,0.16,15%,18%,12101,8
6272,-82.084993,39.757917,94,0.3,29%,32%,39127,28
6273,-88.119607,41.52053,182,0.5,49%,51%,17197,92
6274,-87.681906,41.487209,229,0.46,45%,47%,17031,106
6275,-90.121911,38.5795,342,0.56,55%,57%,17163,192
6276,-89.298635,39.547209,142,0.58,57%,60%,17021,83
6277,-88.552012,37.720158,245,0.6,59%,60%,17165,146
6278,-73.917561,40.685824,958,0.1,10%,10%,36047,96
6279,-96.576763,39.20505,65,0.67,65%,68%,20161,43
6280,-70.961076,42.254277,494,0.14,14%,15%,25021,71
6281,-97.114773,31.532163,538,0.44,44%,45%,48309,237
6282,-80.285228,40.702852,324,0.4,39%,41%,42007,131
6283,-80.455996,40.640004,176,0.54,54%,55%,42007,96
6284,-75.978396,39.784692,45,0.75,74%,77%,42029,34
6285,-75.615397,39.959395,55,0.47,45%,49%,42029,26
6286,-75.821207,39.983328,0,0,0%,0%,42029,0
6287,-81.669314,30.345145,0,0,0%,0%,12031,0
6288,-86.018201,36.520767,216,0.59,58%,60%,47111,128
6289,-96.908069,35.347456,182,0.46,45%,47%,40125,84
6290,-73.900828,40.879772,1183,0.07,7%,8%,36005,86
6291,-73.981023,40.722049,1024,0.06,6%,6%,36061,59
6292,-73.925704,40.834502,710,0.06,6%,6%,36005,43
6293,-73.986538,40.774677,273,0.02,2%,3%,36061,6
6294,-80.160462,41.663971,229,0.54,53%,55%,42039,123
6295,-92.604002,34.559113,135,0.62,60%,63%,5125,83
6296,-112.084466,33.43666,281,0.18,18%,19%,4013,51
6297,-86.147714,33.727326,123,0.66,64%,67%,1115,81
6298,-82.988952,42.570292,165,0.07,7%,8%,26099,12
6299,-98.200847,38.211849,65,0.34,33%,36%,20159,22
6300,-89.579766,44.525328,73,0.58,57%,60%,55097,43
6301,-97.590817,41.117369,25,0.22,20%,24%,31143,5
6302,-76.601486,36.721012,187,0.7,69%,71%,51800,132
6303,-86.255588,33.176991,255,0.62,61%,63%,1121,157
6304,-76.419751,36.982128,51,0.15,14%,16%,51700,8
6305,-77.461499,37.514423,150,0.34,33%,35%,51760,52
6306,-71.02125,42.401997,753,0.17,17%,18%,25025,130
6307,-70.952705,42.46257,200,0.15,14%,15%,25009,29
6308,-71.096059,42.380607,403,0.17,17%,18%,25017,70
6309,-72.593214,42.111331,319,0.18,18%,19%,25013,58
6310,-71.234387,42.312136,151,0.3,29%,31%,25021,46
6311,-76.594849,39.302162,511,0.43,42%,43%,24510,217
6312,-70.191219,44.100548,156,0.18,17%,18%,23001,27
6313,-70.213793,44.093124,575,0.49,48%,49%,23001,280
6314,-99.734918,40.776074,185,0.32,31%,33%,31047,59
6315,-82.406653,40.057953,102,0.6,58%,61%,39089,61
6316,-96.789129,40.855463,207,0.23,22%,24%,31109,48
6317,-85.75301,33.305754,312,0.51,50%,51%,1027,158
6318,-122.463328,45.515684,100,0.37,35%,38%,41051,37
6319,-79.959719,37.271886,0,0,0%,0%,51770,0
6320,-96.85166,39.028468,281,0.42,41%,42%,20061,117
6321,-94.882088,38.57028,114,0.56,55%,57%,20121,64
6322,-74.12481,40.667201,603,0.17,17%,18%,34017,105
6323,-80.850561,35.213643,28,0.48,45%,50%,37119,13
6324,-77.567912,35.266401,205,0.73,72%,74%,37107,149
6325,-76.896962,34.879138,106,0.61,60%,63%,37049,65
6326,-79.743565,36.121194,21,0.76,74%,79%,37081,16
6327,-78.885522,36.040562,446,0.83,83%,84%,37063,371
6328,-89.139473,31.682945,288,0.54,53%,55%,28067,155
6329,-76.145042,43.040201,1180,0.26,26%,27%,36067,312
6330,-88.725348,32.361655,191,0.57,56%,58%,28075,109
6331,-88.682856,34.243555,0,0,0%,0%,28081,0
6332,-88.631824,31.676152,89,0.6,59%,62%,28153,54
6333,-88.641532,33.596579,419,0.64,63%,65%,28025,268
6334,-73.892915,40.937918,1097,0.1,10%,10%,36119,112
6335,-76.989271,38.822264,118,0.54,52%,55%,24033,63
6336,-67.145934,18.19794,798,0.3,29%,30%,72097,236
6337,-66.84968,18.033375,525,0.21,20%,21%,72153,109
6338,-67.823822,46.768758,150,0.38,37%,39%,23003,57
6339,-83.237843,42.391781,469,0.72,72%,73%,26163,338
6340,-91.636855,35.278281,48,0.41,39%,42%,5145,20
6341,-93.091103,31.77064,361,0.5,49%,50%,22069,179
6342,-114.618057,34.836644,140,0.43,42%,44%,6071,60
6343,-85.825586,38.295998,1125,0.76,75%,76%,18043,850
6344,-72.940006,41.308513,236,0.35,35%,36%,9009,83
6345,-72.930369,41.297726,18,0.09,7%,11%,9009,2
6346,-76.636986,39.909784,218,0.46,45%,47%,42133,100
6347,-121.835177,37.999155,171,0.43,42%,45%,6013,74
6348,-80.797935,35.579874,227,0.48,47%,49%,37097,108
6349,-80.602585,40.468129,225,0.6,59%,61%,39081,135
6350,-81.322851,40.831549,578,0.72,71%,72%,39151,416
6351,-80.746592,40.016424,201,0.48,47%,48%,39013,95
6352,-83.805474,39.901398,70,0.56,55%,58%,39023,39
6353,-98.908983,34.031031,122,0.52,51%,53%,48485,63
6354,-122.718338,45.591354,193,0.47,46%,48%,41051,90
6355,-75.193509,39.966018,114,0.51,50%,53%,42101,58
6356,-87.765372,45.055106,44,0.21,19%,22%,55075,9
6357,-66.164746,18.107645,635,0.23,22%,23%,72035,145
6358,-66.187679,18.396701,0,0,0%,0%,72021,0
6359,-82.043539,26.935816,93,0.49,47%,50%,12015,45
6360,-83.101579,42.359384,0,0,0%,0%,26163,0
6361,-83.147302,42.255663,432,0.74,73%,74%,26163,318
6362,-86.451895,42.115898,253,0.72,71%,73%,26021,182
6363,-83.898429,43.599714,113,0.18,17%,19%,26017,21
6364,-118.234854,33.931314,1486,0.34,33%,34%,6037,500
6365,-79.515946,40.812581,283,0.47,46%,47%,42005,132
6366,-94.524625,32.317269,86,0.63,62%,65%,48401,54
6367,-94.939454,30.718454,210,0.65,64%,66%,48373,137
6368,-105.57719,36.403707,333,0.33,32%,33%,35055,109
6369,-115.080646,36.17112,258,0.6,59%,60%,32003,154
6370,-78.814415,42.888217,140,0.14,13%,15%,36029,20
6371,-73.976621,40.718132,0,0,0%,0%,36061,0
6372,-73.794839,40.69607,2373,0.15,15%,15%,36081,358
6373,-73.947683,40.79865,3259,0.07,7%,7%,36061,216
6374,-89.200444,42.915667,219,0.49,48%,50%,55025,108
6375,-87.1209,37.768869,521,0.61,60%,62%,21059,318
6376,-106.582748,35.152725,580,0.46,46%,47%,35001,269
6377,-106.081445,35.998017,433,0.19,18%,19%,35039,81
6378,-96.975746,30.86134,227,0.43,42%,44%,48331,97
6379,-94.566924,39.243211,554,0.39,39%,40%,29047,218
6380,-91.955937,38.845125,379,0.68,67%,68%,29027,257
6381,-89.97713,36.672541,109,0.6,59%,62%,29207,66
6382,-91.541474,37.647286,127,0.37,35%,38%,29065,46
6383,-76.147821,43.071167,200,0.39,38%,40%,36067,79
6384,-73.939472,40.6959,3062,0.09,9%,9%,36047,264
6385,-97.400258,27.972551,199,0.17,16%,18%,48409,34
6386,-82.436054,27.973964,376,0.46,45%,46%,12057,171
6387,-82.514289,27.871507,58,0.24,23%,25%,12057,14
6388,-95.377972,40.444239,40,0.5,48%,52%,29005,20
6389,-97.406192,30.56203,80,0.41,39%,42%,48491,33
6390,-99.757433,29.218571,131,0.08,7%,8%,48463,10
6391,-97.421269,25.941239,1224,0.08,8%,8%,48061,99
6392,-112.020674,40.68423,475,0.48,47%,48%,49035,226
6393,-76.418552,36.988989,723,0.71,70%,71%,51700,511
6394,-77.071078,38.841647,0,0,0%,0%,51510,0
6395,-119.283029,36.341285,700,0.07,7%,7%,6107,49
6396,-71.024453,42.767527,57,0.27,25%,29%,25009,16
6397,-81.944094,34.954221,0,0,0%,0%,45083,0
6398,-103.201975,44.083338,666,0.68,67%,68%,46103,451
6399,-81.666641,30.34021,559,0.65,64%,65%,12031,361
6400,-82.459494,28.017259,325,0.27,27%,28%,12057,89
6401,-75.916948,41.22854,560,0.23,23%,24%,42079,130
6402,-79.719742,41.424877,77,0.55,54%,57%,42121,42
6403,-79.643556,41.918149,121,0.33,32%,34%,42049,40
6404,-90.164167,38.654794,354,0.46,46%,47%,17163,164
6405,-88.426097,37.812707,306,0.56,55%,57%,17165,171
6406,-93.292256,37.200792,236,0.77,76%,78%,29077,182
6407,-88.63138,37.091217,34,0.13,11%,14%,21145,4
6408,-86.874348,36.840023,316,0.54,54%,55%,21141,172
6409,-87.895423,43.071263,205,0.71,70%,72%,55079,145
6410,-87.918879,43.055369,121,0.38,36%,39%,55079,45
6411,-71.308057,41.511185,91,0.29,28%,30%,44005,26
6412,-71.555241,41.87067,56,0.04,3%,5%,44007,2
6413,-86.242835,43.199334,231,0.57,56%,58%,26121,132
6414,-78.895248,35.992126,84,0.67,66%,68%,37063,56
6415,-78.88939,35.989619,0,0,0%,0%,37063,0
6416,-75.979335,40.954696,105,0.4,39%,42%,42079,42
6417,-75.981122,40.951721,269,0.31,30%,32%,42079,83
6418,-86.615822,34.738308,492,0.64,63%,64%,1089,312
6419,-86.604638,34.728884,442,0.66,65%,67%,1089,292
6420,-86.542282,34.649609,31,0.65,63%,68%,1089,20
6421,-82.454304,42.947702,339,0.66,65%,67%,26147,224
6422,-83.568896,41.774961,102,0.24,23%,26%,26115,25
6423,-98.115334,26.196101,96,0.06,5%,7%,48215,6
6424,-93.294547,37.204605,239,0.75,74%,76%,29077,179
6425,-81.034598,34.037491,1533,0.66,66%,66%,45079,1010
6426,-71.808036,42.259259,184,0.22,21%,23%,25027,40
6427,-85.630369,31.451915,277,0.63,62%,64%,1045,175
6428,-75.390704,39.843108,96,0.32,31%,34%,42045,31
6429,-76.6813,39.284746,0,0,0%,0%,24510,0
6430,-80.828356,35.252196,34,0.92,91%,93%,37119,31
6431,-78.490453,38.033311,366,0.64,63%,64%,51540,234
6432,-77.089491,38.761925,0,0,0%,0%,51059,0
6433,-81.805244,37.095824,468,0.69,69%,70%,51185,325
6434,-72.561378,42.851397,272,0.48,47%,49%,50025,131
6435,-122.367473,47.518551,144,0.01,1%,1%,53033,2
6436,-122.425183,47.197213,90,0.35,33%,36%,53053,31
6437,-83.381872,42.265542,254,0.52,51%,53%,26163,131
6438,-96.261969,29.949513,63,0.45,43%,47%,48015,28
6439,-80.353879,27.454918,784,0.72,72%,73%,12111,566
6440,-118.29316,34.031738,0,0,0%,0%,6037,0
6441,-119.036494,35.332014,97,0.4,38%,41%,6029,39
6442,-122.34164,37.971774,258,0.42,41%,42%,6013,108
6443,-117.415938,34.511741,0,0,0%,0%,6071,0
6444,-120.949751,37.63965,335,0.3,29%,30%,6099,99
6445,-89.04014,42.50705,42,0.55,53%,57%,55105,23
6446,-88.059016,44.175671,25,0.2,18%,21%,55015,5
6447,-73.90364,40.837168,4872,0.08,8%,9%,36005,409
6448,-73.916743,40.811429,2304,0.05,5%,5%,36005,113
6449,-73.920377,40.676076,2279,0.14,14%,14%,36047,315
6450,-79.05491,43.107872,258,0.3,29%,30%,36063,77
